gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,140,130,10,7.0696,3.3527,2.9228
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,75,0,75,1.0186,0.4831,0.4211
ENSG00000099869.8,IGF2-AS,lncRNA,0,15,0,0.0,0.0,0.0
ENSG00000103472.10,RRN3P2,lncRNA,27,0,27,0.6988,0.3314,0.2889
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,115,18,162,1.9014,0.9017,0.7861
ENSG00000117242.7,PINK1-AS,lncRNA,163,2177,355,2.1564,1.0227,0.8915
ENSG00000120664.11,SPART-AS1,lncRNA,73,45,36,0.8532,0.4046,0.3528
ENSG00000122043.11,LINC00544,lncRNA,10,5,5,0.2967,0.1407,0.1227
ENSG00000122548.5,KIAA0087,lncRNA,15,21,0,0.2059,0.0976,0.0851
ENSG00000124835.2,AC105760.1,lncRNA,30,1,29,0.7904,0.3748,0.3268
ENSG00000124915.10,MYRF-AS1,lncRNA,69,73,23,1.4039,0.6658,0.5804
ENSG00000125462.19,MIR9-1HG,lncRNA,19261,157,19107,82.3851,39.071,34.061
ENSG00000125514.9,LINC00029,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,109,2,107,0.6231,0.2955,0.2576
ENSG00000125899.8,LINC02871,lncRNA,4,0,4,0.129,0.0612,0.0533
ENSG00000128254.16,C22orf24,lncRNA,74,122,20,0.6109,0.2897,0.2526
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,694,10,769,14.0809,6.6779,5.8216
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,17,16,1,1.8268,0.8663,0.7552
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,1,0,1,0.0065,0.0031,0.0027
ENSG00000132832.10,AL139352.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136275.10,C7orf69,lncRNA,2,2,0,0.1455,0.069,0.0602
ENSG00000136315.4,AL355922.1,lncRNA,16,1,15,2.7907,1.3235,1.1538
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,4,0,4,0.0518,0.0246,0.0214
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,8,11,9,0.1691,0.0802,0.0699
ENSG00000146666.5,LINC00525,lncRNA,1,1,0,0.0495,0.0235,0.0205
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,2,2,0,0.1593,0.0755,0.0659
ENSG00000149656.8,LINC00266-1,lncRNA,12,1,13,0.4905,0.2326,0.2028
ENSG00000151303.11,AL136982.1,lncRNA,3,1,2,0.0387,0.0183,0.016
ENSG00000152931.9,PART1,lncRNA,90,62,32,0.4164,0.1975,0.1722
ENSG00000153363.13,LINC00467,lncRNA,201,4,197,1.7019,0.8071,0.7036
ENSG00000157306.14,ZFHX2-AS1,lncRNA,123,33,104,1.4184,0.6727,0.5864
ENSG00000161149.12,TUBA3FP,lncRNA,7,1,6,0.1939,0.092,0.0802
ENSG00000162888.4,C1orf147,lncRNA,64,134,1,1.7948,0.8512,0.742
ENSG00000162913.10,OBSCN-AS1,lncRNA,60,54,17,0.9132,0.4331,0.3775
ENSG00000162947.5,LINC01931,lncRNA,31,31,0,0.7486,0.355,0.3095
ENSG00000163081.4,CCDC140,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000163364.10,LINC01116,lncRNA,22,1,24,0.6082,0.2885,0.2515
ENSG00000163597.15,SNHG16,lncRNA,1336,25,2860,14.6399,6.9429,6.0527
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,20,20,0,0.3442,0.1633,0.1423
ENSG00000164385.9,LINC01600,lncRNA,10,7,3,0.1891,0.0897,0.0782
ENSG00000164621.5,SMAD5-AS1,lncRNA,29,85,1,0.9386,0.4452,0.3881
ENSG00000165511.6,ZNF22-AS1,lncRNA,199,128,73,3.8002,1.8022,1.5711
ENSG00000166770.11,ZNF667-AS1,lncRNA,589,28,846,2.8448,1.3491,1.1761
ENSG00000166917.11,MIR202HG,lncRNA,6,6,0,0.2698,0.128,0.1116
ENSG00000167046.4,AL357033.1,lncRNA,12,9,3,0.3649,0.1731,0.1509
ENSG00000167459.17,LINC00905,lncRNA,3,0,4,0.0488,0.0231,0.0202
ENSG00000167912.6,AC090152.1,lncRNA,23,8,23,0.3489,0.1655,0.1442
ENSG00000167920.10,TMEM99,lncRNA,86,0,91,1.6557,0.7852,0.6845
ENSG00000168367.11,LINC00917,lncRNA,1,1,0,0.01,0.0047,0.0041
ENSG00000168746.8,LINC01620,lncRNA,4,0,4,0.1368,0.0649,0.0565
ENSG00000170161.7,AL512625.1,lncRNA,76,8,88,1.6321,0.774,0.6748
ENSG00000170919.16,TPT1-AS1,lncRNA,2176,130,2291,8.8221,4.1839,3.6474
ENSG00000170983.4,LINC00208,lncRNA,4,4,0,0.0825,0.0391,0.0341
ENSG00000171671.6,SHANK2-AS3,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171889.5,MIR31HG,lncRNA,20,0,22,0.4175,0.198,0.1726
ENSG00000171987.3,C11orf40,lncRNA,2,1,1,0.1798,0.0852,0.0743
ENSG00000172460.17,PRSS30P,lncRNA,11,1,10,0.2035,0.0965,0.0841
