gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,22,14,8,2.1593,0.6968,0.6554
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,32,0,32,0.8447,0.2726,0.2564
ENSG00000099869.8,IGF2-AS,lncRNA,0,9,0,0.0,0.0,0.0
ENSG00000103472.10,RRN3P2,lncRNA,22,0,22,1.1067,0.3572,0.3359
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,120,15,159,3.8564,1.2445,1.1705
ENSG00000117242.7,PINK1-AS,lncRNA,161,3080,303,4.1399,1.336,1.2565
ENSG00000120664.11,SPART-AS1,lncRNA,54,26,28,1.2267,0.3959,0.3723
ENSG00000122043.11,LINC00544,lncRNA,5,3,2,0.2884,0.0931,0.0875
ENSG00000122548.5,KIAA0087,lncRNA,32,43,1,0.8536,0.2755,0.2591
ENSG00000124835.2,AC105760.1,lncRNA,55,0,55,2.8165,0.9089,0.8549
ENSG00000124915.10,MYRF-AS1,lncRNA,3,133,0,0.1186,0.0383,0.036
ENSG00000125462.19,MIR9-1HG,lncRNA,47739,256,47496,396.8844,128.0779,120.4624
ENSG00000125514.9,LINC00029,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,101,2,99,1.1222,0.3622,0.3406
ENSG00000125899.8,LINC02871,lncRNA,9,1,8,0.564,0.182,0.1712
ENSG00000128254.16,C22orf24,lncRNA,46,55,24,0.7381,0.2382,0.224
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,7,0,8,0.2761,0.0891,0.0838
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,9,10,0,1.8797,0.6066,0.5705
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,7,6,1,0.088,0.0284,0.0267
ENSG00000132832.10,AL139352.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136275.10,C7orf69,lncRNA,3,1,2,0.4242,0.1369,0.1287
ENSG00000136315.4,AL355922.1,lncRNA,5,3,2,1.695,0.547,0.5145
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,9,3,6,0.2265,0.0731,0.0687
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,21,8,24,0.863,0.2785,0.2619
ENSG00000146666.5,LINC00525,lncRNA,8,8,0,0.7693,0.2483,0.2335
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,1,1,0,0.1548,0.05,0.047
ENSG00000149656.8,LINC00266-1,lncRNA,23,4,23,1.8273,0.5897,0.5546
ENSG00000151303.11,AL136982.1,lncRNA,3,0,3,0.0752,0.0243,0.0228
ENSG00000152931.9,PART1,lncRNA,158,38,129,1.421,0.4586,0.4313
ENSG00000153363.13,LINC00467,lncRNA,354,2,352,5.8259,1.88,1.7683
ENSG00000157306.14,ZFHX2-AS1,lncRNA,117,37,100,2.6225,0.8463,0.796
ENSG00000161149.12,TUBA3FP,lncRNA,7,4,5,0.3769,0.1216,0.1144
ENSG00000162888.4,C1orf147,lncRNA,15,26,0,0.8176,0.2638,0.2482
ENSG00000162913.10,OBSCN-AS1,lncRNA,51,55,1,1.5087,0.4869,0.4579
ENSG00000162947.5,LINC01931,lncRNA,99,95,4,4.6468,1.4996,1.4104
ENSG00000163081.4,CCDC140,lncRNA,2,1,1,0.1183,0.0382,0.0359
ENSG00000163364.10,LINC01116,lncRNA,55,3,53,2.9556,0.9538,0.8971
ENSG00000163597.15,SNHG16,lncRNA,822,5,1930,17.5075,5.6498,5.3139
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,165,166,0,5.5199,1.7813,1.6754
ENSG00000164385.9,LINC01600,lncRNA,50,8,45,1.8379,0.5931,0.5578
ENSG00000164621.5,SMAD5-AS1,lncRNA,15,80,4,0.9437,0.3045,0.2864
ENSG00000165511.6,ZNF22-AS1,lncRNA,122,78,46,4.5283,1.4613,1.3744
ENSG00000166770.11,ZNF667-AS1,lncRNA,881,39,1114,8.2704,2.6689,2.5102
ENSG00000166917.11,MIR202HG,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000167046.4,AL357033.1,lncRNA,1,1,0,0.0591,0.0191,0.0179
ENSG00000167459.17,LINC00905,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000167912.6,AC090152.1,lncRNA,81,17,82,2.3881,0.7707,0.7248
ENSG00000167920.10,TMEM99,lncRNA,173,0,183,6.4738,2.0892,1.9649
ENSG00000168367.11,LINC00917,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000168746.8,LINC01620,lncRNA,3,0,3,0.1994,0.0643,0.0605
ENSG00000170161.7,AL512625.1,lncRNA,99,9,131,4.1324,1.3336,1.2543
ENSG00000170919.16,TPT1-AS1,lncRNA,713,320,658,5.6185,1.8131,1.7053
ENSG00000170983.4,LINC00208,lncRNA,1,3,0,0.0401,0.0129,0.0122
ENSG00000171671.6,SHANK2-AS3,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171889.5,MIR31HG,lncRNA,61,26,53,2.4748,0.7986,0.7511
ENSG00000171987.3,C11orf40,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000172460.17,PRSS30P,lncRNA,24,2,23,0.863,0.2785,0.262
ENSG00000172965.17,MIR4435-2HG,lncRNA,2863,310,2830,9.5553,3.0836,2.9002
ENSG00000173077.16,DELEC1,lncRNA,162,1417,19,2.7831,0.8981,0.8447
