gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,37,21,16,1.6309,0.6495,0.5844
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,26,0,26,0.3082,0.1228,0.1104
ENSG00000099869.8,IGF2-AS,lncRNA,0,12,0,0.0,0.0,0.0
ENSG00000103472.10,RRN3P2,lncRNA,21,0,21,0.4744,0.189,0.17
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,82,28,123,1.1835,0.4713,0.4241
ENSG00000117242.7,PINK1-AS,lncRNA,176,6249,453,2.0325,0.8095,0.7283
ENSG00000120664.11,SPART-AS1,lncRNA,58,38,27,0.5917,0.2357,0.212
ENSG00000122043.11,LINC00544,lncRNA,5,0,5,0.1295,0.0516,0.0464
ENSG00000122548.5,KIAA0087,lncRNA,55,73,2,0.6589,0.2624,0.2361
ENSG00000124835.2,AC105760.1,lncRNA,38,0,38,0.8739,0.3481,0.3131
ENSG00000124915.10,MYRF-AS1,lncRNA,73,188,1,1.2965,0.5163,0.4645
ENSG00000125462.19,MIR9-1HG,lncRNA,50490,59,50465,188.5136,75.0783,67.5463
ENSG00000125514.9,LINC00029,lncRNA,0,1,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,30,1,30,0.1497,0.0596,0.0536
ENSG00000125899.8,LINC02871,lncRNA,5,0,5,0.1407,0.056,0.0504
ENSG00000128254.16,C22orf24,lncRNA,60,119,38,0.4324,0.1722,0.1549
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,1172,1,1304,20.7571,8.2668,7.4375
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,15,13,5,1.407,0.5604,0.5041
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,9,8,7,0.0508,0.0202,0.0182
ENSG00000132832.10,AL139352.1,lncRNA,3,0,3,0.1087,0.0433,0.0389
ENSG00000136275.10,C7orf69,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136315.4,AL355922.1,lncRNA,4,3,2,0.609,0.2425,0.2182
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,34,11,29,0.3842,0.153,0.1377
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,9,6,10,0.1661,0.0662,0.0595
ENSG00000146666.5,LINC00525,lncRNA,6,6,1,0.2591,0.1032,0.0928
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149656.8,LINC00266-1,lncRNA,12,3,11,0.4282,0.1705,0.1534
ENSG00000151303.11,AL136982.1,lncRNA,4,2,2,0.045,0.0179,0.0161
ENSG00000152931.9,PART1,lncRNA,177,46,139,0.7149,0.2847,0.2562
ENSG00000153363.13,LINC00467,lncRNA,375,1,375,2.7716,1.1038,0.9931
ENSG00000157306.14,ZFHX2-AS1,lncRNA,166,69,125,1.671,0.6655,0.5987
ENSG00000161149.12,TUBA3FP,lncRNA,22,4,22,0.5319,0.2119,0.1906
ENSG00000162888.4,C1orf147,lncRNA,63,141,0,1.5422,0.6142,0.5526
ENSG00000162913.10,OBSCN-AS1,lncRNA,31,30,1,0.4118,0.164,0.1476
ENSG00000162947.5,LINC01931,lncRNA,41,39,2,0.8643,0.3442,0.3097
ENSG00000163081.4,CCDC140,lncRNA,1,4,0,0.0266,0.0106,0.0095
ENSG00000163364.10,LINC01116,lncRNA,3,0,3,0.0724,0.0288,0.0259
ENSG00000163597.15,SNHG16,lncRNA,1461,16,3455,13.9749,5.5657,5.0073
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,19,19,0,0.2855,0.1137,0.1023
ENSG00000164385.9,LINC01600,lncRNA,51,11,40,0.8419,0.3353,0.3017
ENSG00000164621.5,SMAD5-AS1,lncRNA,18,104,4,0.5086,0.2025,0.1822
