gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,59,41,18,6.4123,1.9921,1.8216
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,49,0,49,1.4323,0.445,0.4069
ENSG00000099869.8,IGF2-AS,lncRNA,16,15,19,0.7055,0.2192,0.2004
ENSG00000103472.10,RRN3P2,lncRNA,39,0,39,2.1725,0.6749,0.6172
ENSG00000115934.11,AC087235.1,lncRNA,1,1,0,0.0952,0.0296,0.027
ENSG00000116652.6,DLEU2L,lncRNA,185,20,272,6.5833,2.0452,1.8702
ENSG00000117242.7,PINK1-AS,lncRNA,129,1860,217,3.673,1.1411,1.0435
ENSG00000120664.11,SPART-AS1,lncRNA,60,10,57,1.5093,0.4689,0.4288
ENSG00000122043.11,LINC00544,lncRNA,7,5,2,0.447,0.1389,0.127
ENSG00000122548.5,KIAA0087,lncRNA,31,40,0,0.9156,0.2845,0.2601
ENSG00000124835.2,AC105760.1,lncRNA,30,0,30,1.7011,0.5285,0.4833
ENSG00000124915.10,MYRF-AS1,lncRNA,18,33,1,0.7882,0.2449,0.2239
ENSG00000125462.19,MIR9-1HG,lncRNA,6878,88,6790,63.3176,19.6707,17.9877
ENSG00000125514.9,LINC00029,lncRNA,1,1,0,0.0707,0.022,0.0201
ENSG00000125804.14,FAM182A,lncRNA,412,3,409,5.0691,1.5748,1.4401
ENSG00000125899.8,LINC02871,lncRNA,17,0,17,1.1797,0.3665,0.3351
ENSG00000128254.16,C22orf24,lncRNA,33,38,18,0.5863,0.1822,0.1666
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,4774,4,5658,208.4713,64.7653,59.2238
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,5,5,0,1.1564,0.3592,0.3285
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,17,2,15,0.2366,0.0735,0.0672
ENSG00000132832.10,AL139352.1,lncRNA,1,0,1,0.0893,0.0278,0.0254
ENSG00000136275.10,C7orf69,lncRNA,4,3,2,0.6263,0.1946,0.1779
ENSG00000136315.4,AL355922.1,lncRNA,15,5,10,5.6308,1.7493,1.5996
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,12,5,7,0.3344,0.1039,0.095
ENSG00000145075.13,CCDC39,lncRNA,1,0,1,0.0254,0.0079,0.0072
ENSG00000146521.10,LINC01558,lncRNA,6,4,7,0.273,0.0848,0.0776
ENSG00000146666.5,LINC00525,lncRNA,2,2,0,0.213,0.0662,0.0605
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,3,3,0,0.5143,0.1598,0.1461
