gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,35,23,12,2.7672,0.9803,0.8532
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,45,0,45,0.9569,0.339,0.295
ENSG00000099869.8,IGF2-AS,lncRNA,2,2,2,0.0642,0.0227,0.0198
ENSG00000103472.10,RRN3P2,lncRNA,32,1,31,1.2967,0.4594,0.3998
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,121,38,171,3.1323,1.1096,0.9658
ENSG00000117242.7,PINK1-AS,lncRNA,215,4327,465,4.4533,1.5776,1.3731
ENSG00000120664.11,SPART-AS1,lncRNA,167,157,14,3.056,1.0826,0.9423
ENSG00000122043.11,LINC00544,lncRNA,4,4,0,0.1858,0.0658,0.0573
ENSG00000122548.5,KIAA0087,lncRNA,88,111,0,1.8909,0.6698,0.583
ENSG00000124835.2,AC105760.1,lncRNA,76,0,76,3.135,1.1106,0.9666
ENSG00000124915.10,MYRF-AS1,lncRNA,116,201,5,3.6952,1.309,1.1393
ENSG00000125462.19,MIR9-1HG,lncRNA,27142,62,27083,181.7667,64.3904,56.0448
ENSG00000125514.9,LINC00029,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,304,6,298,2.7209,0.9639,0.839
ENSG00000125899.8,LINC02871,lncRNA,8,0,8,0.4039,0.1431,0.1245
ENSG00000128254.16,C22orf24,lncRNA,76,89,52,0.9823,0.348,0.3029
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,12,0,14,0.3812,0.135,0.1175
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,16,13,3,2.6919,0.9536,0.83
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,11,7,6,0.1114,0.0394,0.0343
ENSG00000132832.10,AL139352.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136275.10,C7orf69,lncRNA,3,2,2,0.3417,0.121,0.1054
ENSG00000136315.4,AL355922.1,lncRNA,3,2,1,0.8192,0.2902,0.2526
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,18,1,17,0.3649,0.1293,0.1125
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,11,2,11,0.3641,0.129,0.1123
ENSG00000146666.5,LINC00525,lncRNA,7,7,0,0.5423,0.1921,0.1672
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,1,1,0,0.1247,0.0442,0.0384
ENSG00000149656.8,LINC00266-1,lncRNA,8,5,4,0.512,0.1814,0.1579
ENSG00000151303.11,AL136982.1,lncRNA,6,0,6,0.1211,0.0429,0.0373
ENSG00000152931.9,PART1,lncRNA,146,59,99,1.0577,0.3747,0.3261
ENSG00000153363.13,LINC00467,lncRNA,435,3,432,5.7667,2.0428,1.7781
ENSG00000157306.14,ZFHX2-AS1,lncRNA,515,70,483,9.2985,3.294,2.8671
ENSG00000161149.12,TUBA3FP,lncRNA,12,5,10,0.5204,0.1844,0.1605
ENSG00000162888.4,C1orf147,lncRNA,16,29,0,0.7025,0.2489,0.2166
ENSG00000162913.10,OBSCN-AS1,lncRNA,81,61,69,1.9302,0.6838,0.5951
ENSG00000162947.5,LINC01931,lncRNA,35,35,0,1.3233,0.4688,0.408
ENSG00000163081.4,CCDC140,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000163364.10,LINC01116,lncRNA,3,1,2,0.1299,0.046,0.04
ENSG00000163597.15,SNHG16,lncRNA,839,3,1918,14.3945,5.0992,4.4383
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,2,2,0,0.0539,0.0191,0.0166
ENSG00000164385.9,LINC01600,lncRNA,110,0,113,3.2571,1.1538,1.0043
ENSG00000164621.5,SMAD5-AS1,lncRNA,8,107,1,0.4054,0.1436,0.125
ENSG00000165511.6,ZNF22-AS1,lncRNA,255,223,35,7.6242,2.7009,2.3508
ENSG00000166770.11,ZNF667-AS1,lncRNA,862,70,1065,6.5184,2.3091,2.0098
ENSG00000166917.11,MIR202HG,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000167046.4,AL357033.1,lncRNA,5,0,5,0.238,0.0843,0.0734
ENSG00000167459.17,LINC00905,lncRNA,1,0,1,0.0255,0.009,0.0079
ENSG00000167912.6,AC090152.1,lncRNA,77,26,75,1.8287,0.6478,0.5638
ENSG00000167920.10,TMEM99,lncRNA,142,1,153,4.2804,1.5163,1.3198
ENSG00000168367.11,LINC00917,lncRNA,2,0,2,0.0313,0.0111,0.0096
ENSG00000168746.8,LINC01620,lncRNA,5,0,5,0.2677,0.0948,0.0825
ENSG00000170161.7,AL512625.1,lncRNA,63,4,79,2.1183,0.7504,0.6531
ENSG00000170919.16,TPT1-AS1,lncRNA,914,150,976,5.8018,2.0553,1.7889
ENSG00000170983.4,LINC00208,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171671.6,SHANK2-AS3,lncRNA,2,2,0,0.1094,0.0387,0.0337
ENSG00000171889.5,MIR31HG,lncRNA,16,2,19,0.5229,0.1852,0.1612
ENSG00000171987.3,C11orf40,lncRNA,1,0,1,0.1407,0.0498,0.0434
ENSG00000172460.17,PRSS30P,lncRNA,17,0,17,0.4924,0.1744,0.1518
ENSG00000172965.17,MIR4435-2HG,lncRNA,616,387,549,1.6561,0.5867,0.5106
ENSG00000173077.16,DELEC1,lncRNA,33,244,10,0.4567,0.1618,0.1408
ENSG00000173811.11,CCDC13-AS1,lncRNA,93,27,105,3.6112,1.2793,1.1135
ENSG00000173862.3,AC008080.1,lncRNA,49,0,49,4.2622,1.5099,1.3142
ENSG00000174171.6,AC020659.1,lncRNA,0,95,0,0.0,0.0,0.0
