gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,19,14,5,2.3504,0.736,0.6501
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,43,1,42,1.4306,0.448,0.3957
ENSG00000099869.8,IGF2-AS,lncRNA,1,20,0,0.0502,0.0157,0.0139
ENSG00000103472.10,RRN3P2,lncRNA,6,0,6,0.3804,0.1191,0.1052
ENSG00000115934.11,AC087235.1,lncRNA,1,1,0,0.1083,0.0339,0.03
ENSG00000116652.6,DLEU2L,lncRNA,73,5,123,2.9568,0.9259,0.8178
ENSG00000117242.7,PINK1-AS,lncRNA,135,2436,245,4.3752,1.37,1.2101
ENSG00000120664.11,SPART-AS1,lncRNA,81,28,64,2.3192,0.7262,0.6415
ENSG00000122043.11,LINC00544,lncRNA,17,15,2,1.2357,0.3869,0.3418
ENSG00000122548.5,KIAA0087,lncRNA,68,102,0,2.2861,0.7158,0.6323
ENSG00000124835.2,AC105760.1,lncRNA,73,0,73,4.7116,1.4753,1.3032
ENSG00000124915.10,MYRF-AS1,lncRNA,9,97,0,0.4486,0.1405,0.1241
ENSG00000125462.19,MIR9-1HG,lncRNA,36819,475,36346,385.8021,120.8041,106.7079
ENSG00000125514.9,LINC00029,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,72,2,70,1.0083,0.3157,0.2789
ENSG00000125899.8,LINC02871,lncRNA,18,0,18,1.4218,0.4452,0.3932
ENSG00000128254.16,C22orf24,lncRNA,55,68,23,1.1123,0.3483,0.3077
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,81,0,102,4.026,1.2607,1.1136
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,10,9,1,2.6324,0.8243,0.7281
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,13,2,12,0.2059,0.0645,0.057
ENSG00000132832.10,AL139352.1,lncRNA,1,0,1,0.1017,0.0318,0.0281
ENSG00000136275.10,C7orf69,lncRNA,3,3,0,0.5346,0.1674,0.1479
ENSG00000136315.4,AL355922.1,lncRNA,4,2,2,1.7091,0.5352,0.4727
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,12,3,9,0.3806,0.1192,0.1053
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,27,13,28,1.3985,0.4379,0.3868
ENSG00000146666.5,LINC00525,lncRNA,6,6,0,0.7272,0.2277,0.2011
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,7,7,0,1.3658,0.4277,0.3778
ENSG00000149656.8,LINC00266-1,lncRNA,6,4,6,0.6008,0.1881,0.1662
ENSG00000151303.11,AL136982.1,lncRNA,2,0,2,0.0632,0.0198,0.0175
ENSG00000152931.9,PART1,lncRNA,116,84,41,1.3149,0.4117,0.3637
ENSG00000153363.13,LINC00467,lncRNA,158,1,157,3.2773,1.0262,0.9065
ENSG00000157306.14,ZFHX2-AS1,lncRNA,132,43,108,3.7291,1.1677,1.0314
ENSG00000161149.12,TUBA3FP,lncRNA,5,2,4,0.3393,0.1062,0.0938
ENSG00000162888.4,C1orf147,lncRNA,27,41,0,1.8549,0.5808,0.513
ENSG00000162913.10,OBSCN-AS1,lncRNA,41,35,15,1.5287,0.4787,0.4228
ENSG00000162947.5,LINC01931,lncRNA,86,85,1,5.0877,1.5931,1.4072
ENSG00000163081.4,CCDC140,lncRNA,11,6,5,0.8198,0.2567,0.2268
ENSG00000163364.10,LINC01116,lncRNA,172,6,174,11.6495,3.6477,3.2221
ENSG00000163597.15,SNHG16,lncRNA,638,1,1470,17.1267,5.3628,4.737
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,71,71,0,2.9937,0.9374,0.828
ENSG00000164385.9,LINC01600,lncRNA,62,12,50,2.8725,0.8994,0.7945
ENSG00000164621.5,SMAD5-AS1,lncRNA,16,82,0,1.2687,0.3972,0.3509
ENSG00000165511.6,ZNF22-AS1,lncRNA,121,70,51,5.6606,1.7725,1.5656
ENSG00000166770.11,ZNF667-AS1,lncRNA,725,84,863,8.5781,2.686,2.3726
ENSG00000166917.11,MIR202HG,lncRNA,1,1,0,0.1102,0.0345,0.0305
ENSG00000167046.4,AL357033.1,lncRNA,3,3,0,0.2235,0.07,0.0618
ENSG00000167459.17,LINC00905,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000167912.6,AC090152.1,lncRNA,27,6,28,1.0033,0.3142,0.2775
ENSG00000167920.10,TMEM99,lncRNA,151,0,164,7.1218,2.23,1.9698
ENSG00000168367.11,LINC00917,lncRNA,1,0,1,0.0245,0.0077,0.0068
ENSG00000168746.8,LINC01620,lncRNA,2,0,2,0.1675,0.0525,0.0463
ENSG00000170161.7,AL512625.1,lncRNA,50,10,58,2.6305,0.8237,0.7276
ENSG00000170919.16,TPT1-AS1,lncRNA,924,72,968,9.1771,2.8736,2.5383
ENSG00000170983.4,LINC00208,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171671.6,SHANK2-AS3,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171889.5,MIR31HG,lncRNA,67,13,81,3.426,1.0728,0.9476
ENSG00000171987.3,C11orf40,lncRNA,1,0,1,0.2202,0.0689,0.0609
ENSG00000172460.17,PRSS30P,lncRNA,6,0,6,0.2719,0.0852,0.0752
ENSG00000172965.17,MIR4435-2HG,lncRNA,3805,290,3843,16.0058,5.0118,4.427
ENSG00000173077.16,DELEC1,lncRNA,113,1323,13,2.4468,0.7662,0.6768
ENSG00000173811.11,CCDC13-AS1,lncRNA,27,45,3,1.6404,0.5137,0.4537
ENSG00000173862.3,AC008080.1,lncRNA,112,0,112,15.2432,4.773,4.2161
ENSG00000174171.6,AC020659.1,lncRNA,9,165,2,0.1919,0.0601,0.0531
ENSG00000174325.6,DIRC1,lncRNA,2,2,0,0.2777,0.087,0.0768
ENSG00000174365.20,SNHG11,lncRNA,389,2,387,12.3787,3.8761,3.4238
ENSG00000174403.16,MIR1-1HG-AS1,lncRNA,11,0,11,0.4663,0.146,0.129
