gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,3,1,2,0.1842,0.0638,0.0575
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,50,0,50,0.8255,0.2861,0.2579
ENSG00000099869.8,IGF2-AS,lncRNA,154,32,206,3.8357,1.3294,1.1983
ENSG00000103472.10,RRN3P2,lncRNA,6,0,6,0.1888,0.0654,0.059
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,68,16,127,1.3668,0.4737,0.427
ENSG00000117242.7,PINK1-AS,lncRNA,250,4166,657,4.0208,1.3936,1.2561
ENSG00000120664.11,SPART-AS1,lncRNA,157,107,58,2.2308,0.7732,0.6969
ENSG00000122043.11,LINC00544,lncRNA,3,0,3,0.1082,0.0375,0.0338
ENSG00000122548.5,KIAA0087,lncRNA,288,449,2,4.805,1.6654,1.5011
ENSG00000124835.2,AC105760.1,lncRNA,15,0,15,0.4804,0.1665,0.1501
ENSG00000124915.10,MYRF-AS1,lncRNA,30,108,7,0.742,0.2572,0.2318
ENSG00000125462.19,MIR9-1HG,lncRNA,61513,194,61322,319.8655,110.863,99.9297
ENSG00000125514.9,LINC00029,lncRNA,4,4,0,0.1597,0.0553,0.0499
ENSG00000125804.14,FAM182A,lncRNA,212,8,204,1.4734,0.5107,0.4603
ENSG00000125899.8,LINC02871,lncRNA,10,0,10,0.392,0.1359,0.1225
ENSG00000128254.16,C22orf24,lncRNA,67,68,37,0.6724,0.2331,0.2101
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,3,0,4,0.074,0.0256,0.0231
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,11,11,0,1.437,0.4981,0.4489
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132832.10,AL139352.1,lncRNA,1,0,1,0.0505,0.0175,0.0158
ENSG00000136275.10,C7orf69,lncRNA,0,0,0,0.0,0.0,0.0
