gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,46,31,15,3.7259,1.1096,0.9664
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,64,0,64,1.3942,0.4152,0.3616
ENSG00000099869.8,IGF2-AS,lncRNA,11,4,14,0.3615,0.1076,0.0938
ENSG00000103472.10,RRN3P2,lncRNA,32,0,32,1.3285,0.3956,0.3446
ENSG00000115934.11,AC087235.1,lncRNA,1,0,1,0.0709,0.0211,0.0184
ENSG00000116652.6,DLEU2L,lncRNA,245,15,339,6.4977,1.935,1.6853
ENSG00000117242.7,PINK1-AS,lncRNA,175,2431,395,3.7136,1.1059,0.9632
ENSG00000120664.11,SPART-AS1,lncRNA,78,11,72,1.4623,0.4355,0.3793
ENSG00000122043.11,LINC00544,lncRNA,4,3,1,0.1904,0.0567,0.0494
ENSG00000122548.5,KIAA0087,lncRNA,111,148,0,2.4435,0.7276,0.6338
ENSG00000124835.2,AC105760.1,lncRNA,70,0,70,2.9582,0.8809,0.7673
ENSG00000124915.10,MYRF-AS1,lncRNA,20,82,1,0.6527,0.1944,0.1693
ENSG00000125462.19,MIR9-1HG,lncRNA,35741,146,35599,245.215,73.0237,63.6011
ENSG00000125514.9,LINC00029,lncRNA,1,1,0,0.0527,0.0157,0.0137
ENSG00000125804.14,FAM182A,lncRNA,28,3,25,0.2568,0.0765,0.0666
ENSG00000125899.8,LINC02871,lncRNA,26,0,26,1.3447,0.4004,0.3488
ENSG00000128254.16,C22orf24,lncRNA,71,66,50,0.9402,0.28,0.2439
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,1280,2,1497,41.6574,12.4053,10.8046
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,12,12,0,2.0684,0.6159,0.5365
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,5,5,0,0.0519,0.0154,0.0134
ENSG00000132832.10,AL139352.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136275.10,C7orf69,lncRNA,2,2,0,0.2334,0.0695,0.0605
ENSG00000136315.4,AL355922.1,lncRNA,2,0,2,0.5595,0.1666,0.1451
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,21,3,19,0.4361,0.1299,0.1131
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,6,2,7,0.2035,0.0606,0.0528
ENSG00000146666.5,LINC00525,lncRNA,8,6,2,0.6349,0.1891,0.1647
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,4,4,0,0.511,0.1522,0.1325
ENSG00000149656.8,LINC00266-1,lncRNA,30,8,26,1.9669,0.5857,0.5102
ENSG00000151303.11,AL136982.1,lncRNA,5,1,4,0.1034,0.0308,0.0268
ENSG00000152931.9,PART1,lncRNA,139,85,66,1.0317,0.3072,0.2676
ENSG00000153363.13,LINC00467,lncRNA,298,0,298,4.0473,1.2053,1.0497
ENSG00000157306.14,ZFHX2-AS1,lncRNA,234,50,218,4.3284,1.289,1.1227
ENSG00000161149.12,TUBA3FP,lncRNA,23,0,28,1.0219,0.3043,0.2651
ENSG00000162888.4,C1orf147,lncRNA,24,52,2,1.0796,0.3215,0.28
ENSG00000162913.10,OBSCN-AS1,lncRNA,43,36,16,1.0498,0.3126,0.2723
ENSG00000162947.5,LINC01931,lncRNA,65,65,0,2.5178,0.7498,0.653
ENSG00000163081.4,CCDC140,lncRNA,1,1,0,0.0488,0.0145,0.0127
ENSG00000163364.10,LINC01116,lncRNA,254,12,258,11.2642,3.3544,2.9216
ENSG00000163597.15,SNHG16,lncRNA,1093,4,2469,19.2115,5.7211,4.9829
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,309,159,150,8.531,2.5405,2.2127
ENSG00000164385.9,LINC01600,lncRNA,106,11,101,3.2155,0.9576,0.834
ENSG00000164621.5,SMAD5-AS1,lncRNA,28,134,1,1.4537,0.4329,0.377
ENSG00000165511.6,ZNF22-AS1,lncRNA,204,74,131,6.2487,1.8608,1.6207
ENSG00000166770.11,ZNF667-AS1,lncRNA,957,91,1245,7.414,2.2078,1.923
ENSG00000166917.11,MIR202HG,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000167046.4,AL357033.1,lncRNA,7,7,0,0.3414,0.1017,0.0886
ENSG00000167459.17,LINC00905,lncRNA,1,0,1,0.0261,0.0078,0.0068
ENSG00000167912.6,AC090152.1,lncRNA,154,36,156,3.747,1.1158,0.9718
ENSG00000167920.10,TMEM99,lncRNA,273,0,281,8.4307,2.5106,2.1867
ENSG00000168367.11,LINC00917,lncRNA,0,1,0,0.0,0.0,0.0
ENSG00000168746.8,LINC01620,lncRNA,4,0,4,0.2194,0.0653,0.0569
ENSG00000170161.7,AL512625.1,lncRNA,199,8,233,6.855,2.0414,1.778
ENSG00000170919.16,TPT1-AS1,lncRNA,1726,177,1819,11.2244,3.3426,2.9113
ENSG00000170983.4,LINC00208,lncRNA,2,2,0,0.0662,0.0197,0.0172
ENSG00000171671.6,SHANK2-AS3,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000171889.5,MIR31HG,lncRNA,220,199,92,7.3658,2.1935,1.9105
ENSG00000171987.3,C11orf40,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000172460.17,PRSS30P,lncRNA,5,0,5,0.1484,0.0442,0.0385
ENSG00000172965.17,MIR4435-2HG,lncRNA,7558,311,7687,20.817,6.1992,5.3993
ENSG00000173077.16,DELEC1,lncRNA,766,6385,35,10.8602,3.2341,2.8168
ENSG00000173811.11,CCDC13-AS1,lncRNA,36,55,9,1.4321,0.4265,0.3715
ENSG00000173862.3,AC008080.1,lncRNA,96,0,96,8.5549,2.5476,2.2189
ENSG00000174171.6,AC020659.1,lncRNA,29,429,4,0.4049,0.1206,0.105
ENSG00000174325.6,DIRC1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000174365.20,SNHG11,lncRNA,781,0,781,16.2728,4.846,4.2207
ENSG00000174403.16,MIR1-1HG-AS1,lncRNA,5,0,5,0.1388,0.0413,0.036
ENSG00000174407.13,MIR1-1HG,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000174680.10,GRIK1-AS1,lncRNA,501,416,85,10.2574,3.0546,2.6605
ENSG00000175061.18,SNHG29,lncRNA,2968,117,4536,38.9953,11.6126,10.1141
ENSG00000175147.13,TMEM51-AS1,lncRNA,222,1414,263,1.7482,0.5206,0.4534
ENSG00000175170.16,FAM182B,lncRNA,673,28,645,9.282,2.7641,2.4075
ENSG00000175604.2,AC007601.1,lncRNA,47,47,0,2.2448,0.6685,0.5822
ENSG00000175611.12,LINC00476,lncRNA,924,382,961,13.1082,3.9035,3.3998
ENSG00000175728.4,LINC02873,lncRNA,3,0,3,0.0797,0.0237,0.0207
ENSG00000175746.6,C15orf54,lncRNA,19,17,2,0.582,0.1733,0.1509
ENSG00000175772.11,LINC01106,lncRNA,15,0,15,0.4626,0.1378,0.12
ENSG00000175773.13,ZBTB44-DT,lncRNA,16,3,14,0.574,0.1709,0.1489
ENSG00000175779.4,LINC02694,lncRNA,5,5,0,0.0556,0.0166,0.0144
ENSG00000175967.4,LINC02880,lncRNA,31,1,30,1.2927,0.385,0.3353
