gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,48,25,23,1.3311,0.4807,0.4628
ENSG00000083622.8,AC000061.1,lncRNA,1,1,0,0.0858,0.031,0.0298
ENSG00000093100.13,AC016026.1,lncRNA,41,0,41,0.3058,0.1104,0.1063
ENSG00000099869.8,IGF2-AS,lncRNA,0,12,0,0.0,0.0,0.0
ENSG00000103472.10,RRN3P2,lncRNA,23,0,23,0.3269,0.1181,0.1137
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,79,9,112,0.7173,0.259,0.2494
ENSG00000117242.7,PINK1-AS,lncRNA,437,11648,1260,3.1749,1.1465,1.1037
ENSG00000120664.11,SPART-AS1,lncRNA,61,14,55,0.3915,0.1414,0.1361
ENSG00000122043.11,LINC00544,lncRNA,8,3,5,0.1304,0.0471,0.0453
ENSG00000122548.5,KIAA0087,lncRNA,160,324,0,1.2059,0.4355,0.4192
ENSG00000124835.2,AC105760.1,lncRNA,75,0,75,1.0851,0.3919,0.3772
ENSG00000124915.10,MYRF-AS1,lncRNA,7,173,1,0.0782,0.0282,0.0272
ENSG00000125462.19,MIR9-1HG,lncRNA,50109,29,50089,117.7043,42.5049,40.9191
ENSG00000125514.9,LINC00029,lncRNA,1,1,0,0.018,0.0065,0.0063
ENSG00000125804.14,FAM182A,lncRNA,206,3,203,0.6467,0.2335,0.2248
ENSG00000125899.8,LINC02871,lncRNA,2,0,2,0.0354,0.0128,0.0123
ENSG00000128254.16,C22orf24,lncRNA,40,68,32,0.1813,0.0655,0.063
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,2335,1,2699,26.0175,9.3953,9.0448
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,7,8,1,0.4131,0.1492,0.1436
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,9,7,3,0.032,0.0115,0.0111
ENSG00000132832.10,AL139352.1,lncRNA,2,0,2,0.0456,0.0165,0.0158
ENSG00000136275.10,C7orf69,lncRNA,1,1,0,0.0399,0.0144,0.0139
ENSG00000136315.4,AL355922.1,lncRNA,22,1,21,2.1073,0.761,0.7326
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,35,10,27,0.2489,0.0899,0.0865
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,9,2,10,0.1045,0.0377,0.0363
ENSG00000146666.5,LINC00525,lncRNA,10,3,8,0.2717,0.0981,0.0945
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149656.8,LINC00266-1,lncRNA,4,0,4,0.0898,0.0324,0.0312
ENSG00000151303.11,AL136982.1,lncRNA,1,0,1,0.0071,0.0026,0.0025
ENSG00000152931.9,PART1,lncRNA,120,21,105,0.3049,0.1101,0.106
ENSG00000153363.13,LINC00467,lncRNA,1142,0,1142,5.3102,1.9176,1.846
ENSG00000157306.14,ZFHX2-AS1,lncRNA,138,47,112,0.874,0.3156,0.3038
ENSG00000161149.12,TUBA3FP,lncRNA,59,8,81,0.8975,0.3241,0.312
ENSG00000162888.4,C1orf147,lncRNA,29,101,0,0.4466,0.1613,0.1553
ENSG00000162913.10,OBSCN-AS1,lncRNA,18,16,9,0.1504,0.0543,0.0523
ENSG00000162947.5,LINC01931,lncRNA,20,20,0,0.2652,0.0958,0.0922
ENSG00000163081.4,CCDC140,lncRNA,3,0,3,0.0501,0.0181,0.0174
ENSG00000163364.10,LINC01116,lncRNA,197,15,202,2.9911,1.0801,1.0398
ENSG00000163597.15,SNHG16,lncRNA,2415,3,6191,14.533,5.2481,5.0523
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,214,217,0,2.0228,0.7305,0.7032
ENSG00000164385.9,LINC01600,lncRNA,92,3,93,0.9555,0.345,0.3322
ENSG00000164621.5,SMAD5-AS1,lncRNA,22,91,14,0.3911,0.1412,0.1359
ENSG00000165511.6,ZNF22-AS1,lncRNA,465,209,270,4.8765,1.761,1.6953
