gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,2,1,1,0.1106,0.0431,0.039
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,82,0,82,1.2194,0.4752,0.4296
ENSG00000099869.8,IGF2-AS,lncRNA,1,4,2,0.0224,0.0087,0.0079
ENSG00000103472.10,RRN3P2,lncRNA,16,0,16,0.4534,0.1767,0.1598
ENSG00000115934.11,AC087235.1,lncRNA,1,1,0,0.0484,0.0189,0.0171
ENSG00000116652.6,DLEU2L,lncRNA,79,7,138,1.4302,0.5573,0.5039
ENSG00000117242.7,PINK1-AS,lncRNA,210,6323,456,3.042,1.1854,1.0718
ENSG00000120664.11,SPART-AS1,lncRNA,26,17,17,0.3327,0.1297,0.1172
ENSG00000122043.11,LINC00544,lncRNA,1,1,0,0.0325,0.0127,0.0114
ENSG00000122548.5,KIAA0087,lncRNA,298,379,1,4.478,1.7449,1.5777
ENSG00000124835.2,AC105760.1,lncRNA,42,0,42,1.2116,0.4721,0.4269
ENSG00000124915.10,MYRF-AS1,lncRNA,30,105,24,0.6683,0.2604,0.2355
ENSG00000125462.19,MIR9-1HG,lncRNA,63137,110,63045,295.7014,115.225,104.1833
ENSG00000125514.9,LINC00029,lncRNA,0,1,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,538,2,536,3.3676,1.3123,1.1865
ENSG00000125899.8,LINC02871,lncRNA,6,0,6,0.2118,0.0825,0.0746
ENSG00000128254.16,C22orf24,lncRNA,52,74,14,0.47,0.1832,0.1656
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,8,7,1,0.1777,0.0693,0.0626
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,23,20,3,2.7062,1.0545,0.9535
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,5,4,2,0.0354,0.0138,0.0125
ENSG00000132832.10,AL139352.1,lncRNA,3,0,3,0.1364,0.0531,0.048
ENSG00000136275.10,C7orf69,lncRNA,3,2,1,0.239,0.0931,0.0842
ENSG00000136315.4,AL355922.1,lncRNA,9,9,0,1.7188,0.6698,0.6056
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,2,1,1,0.0284,0.011,0.01
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,2,1,2,0.0463,0.018,0.0163
ENSG00000146666.5,LINC00525,lncRNA,9,9,0,0.4876,0.19,0.1718
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,2,2,0,0.1744,0.068,0.0615
ENSG00000149656.8,LINC00266-1,lncRNA,6,1,6,0.2685,0.1046,0.0946
ENSG00000151303.11,AL136982.1,lncRNA,1,1,1,0.0141,0.0055,0.005
ENSG00000152931.9,PART1,lncRNA,132,16,135,0.6688,0.2606,0.2356
ENSG00000153363.13,LINC00467,lncRNA,217,3,215,2.0118,0.7839,0.7088
ENSG00000157306.14,ZFHX2-AS1,lncRNA,535,88,476,6.7555,2.6324,2.3801
ENSG00000161149.12,TUBA3FP,lncRNA,26,2,30,0.7886,0.3073,0.2778
ENSG00000162888.4,C1orf147,lncRNA,19,25,1,0.5834,0.2273,0.2056
ENSG00000162913.10,OBSCN-AS1,lncRNA,56,52,13,0.9332,0.3637,0.3288
ENSG00000162947.5,LINC01931,lncRNA,16,16,0,0.4231,0.1649,0.1491
ENSG00000163081.4,CCDC140,lncRNA,2,3,0,0.0666,0.026,0.0235
ENSG00000163364.10,LINC01116,lncRNA,11,4,7,0.333,0.1298,0.1173
ENSG00000163597.15,SNHG16,lncRNA,2073,7,4567,24.8731,9.6922,8.7634
ENSG00000163915.7,IGF2BP2-AS1,lncRNA,7,8,0,0.1319,0.0514,0.0465
ENSG00000164385.9,LINC01600,lncRNA,1,0,1,0.0207,0.0081,0.0073
ENSG00000164621.5,SMAD5-AS1,lncRNA,9,82,5,0.319,0.1243,0.1124
ENSG00000165511.6,ZNF22-AS1,lncRNA,466,312,159,9.744,3.7969,3.4331
ENSG00000166770.11,ZNF667-AS1,lncRNA,850,80,1146,4.4952,1.7516,1.5838
ENSG00000166917.11,MIR202HG,lncRNA,2,1,1,0.0985,0.0384,0.0347
ENSG00000167046.4,AL357033.1,lncRNA,17,17,0,0.566,0.2206,0.1994
ENSG00000167459.17,LINC00905,lncRNA,0,1,0,0.0,0.0,0.0
ENSG00000167912.6,AC090152.1,lncRNA,65,56,63,1.0796,0.4207,0.3804
