gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,61,29,32,5.0819,1.3114,1.2251
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,3,1,2,0.0672,0.0173,0.0162
ENSG00000099869.8,IGF2-AS,lncRNA,2,6,4,0.0676,0.0174,0.0163
ENSG00000103472.10,RRN3P2,lncRNA,26,16,10,1.1102,0.2865,0.2676
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,28,19,23,0.7638,0.1971,0.1841
ENSG00000117242.7,PINK1-AS,lncRNA,159,1332,1355,3.4703,0.8955,0.8366
ENSG00000120664.11,SPART-AS1,lncRNA,41,23,25,0.7906,0.204,0.1906
ENSG00000122043.11,LINC00544,lncRNA,1,1,0,0.049,0.0126,0.0118
ENSG00000122548.5,KIAA0087,lncRNA,2,5,4,0.0453,0.0117,0.0109
ENSG00000124835.2,AC105760.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000124915.10,MYRF-AS1,lncRNA,3,90,97,0.1007,0.026,0.0243
ENSG00000125462.19,MIR9-1HG,lncRNA,42586,21003,21604,300.514,77.5498,72.4444
ENSG00000125514.9,LINC00029,lncRNA,0,0,1,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,109,50,59,1.028,0.2653,0.2478
ENSG00000125899.8,LINC02871,lncRNA,6,3,3,0.3192,0.0824,0.0769
ENSG00000128254.16,C22orf24,lncRNA,48,56,44,0.6537,0.1687,0.1576
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,2489,1378,1434,83.3152,21.5001,20.0846
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,1,0,1,0.1773,0.0457,0.0427
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,2,1,1,0.0213,0.0055,0.0051
ENSG00000132832.10,AL139352.1,lncRNA,1,1,0,0.0685,0.0177,0.0165
ENSG00000136275.10,C7orf69,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136315.4,AL355922.1,lncRNA,24,14,10,6.906,1.7822,1.6648
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,13,8,5,0.2777,0.0717,0.0669
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,92,86,94,3.2092,0.8281,0.7736
ENSG00000146666.5,LINC00525,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149656.8,LINC00266-1,lncRNA,21,8,16,1.4161,0.3654,0.3414
ENSG00000151303.11,AL136982.1,lncRNA,1,1,0,0.0213,0.0055,0.0051
ENSG00000152931.9,PART1,lncRNA,84,34,54,0.6412,0.1655,0.1546
ENSG00000153363.13,LINC00467,lncRNA,246,118,128,3.4364,0.8868,0.8284
ENSG00000157306.14,ZFHX2-AS1,lncRNA,69,42,53,1.3128,0.3388,0.3165
ENSG00000161149.12,TUBA3FP,lncRNA,20,10,14,0.914,0.2359,0.2203
ENSG00000162888.4,C1orf147,lncRNA,4,16,23,0.1851,0.0478,0.0446
ENSG00000162913.10,OBSCN-AS1,lncRNA,30,18,18,0.7533,0.1944,0.1816
ENSG00000162947.5,LINC01931,lncRNA,3,1,2,0.1195,0.0308,0.0288
