gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,17,9,8,0.9805,0.2833,0.3005
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,7,5,2,0.1086,0.0314,0.0333
ENSG00000099869.8,IGF2-AS,lncRNA,4,6,12,0.0936,0.027,0.0287
ENSG00000103472.10,RRN3P2,lncRNA,3,2,1,0.0887,0.0256,0.0272
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,14,9,9,0.2644,0.0764,0.081
ENSG00000117242.7,PINK1-AS,lncRNA,111,2388,2414,1.6772,0.4846,0.514
ENSG00000120664.11,SPART-AS1,lncRNA,7,3,5,0.0934,0.027,0.0286
ENSG00000122043.11,LINC00544,lncRNA,7,3,4,0.2372,0.0685,0.0727
ENSG00000122548.5,KIAA0087,lncRNA,2,1,6,0.0313,0.0091,0.0096
ENSG00000124835.2,AC105760.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000124915.10,MYRF-AS1,lncRNA,14,68,67,0.3253,0.094,0.0997
ENSG00000125462.19,MIR9-1HG,lncRNA,3609,1819,1796,17.6309,5.0946,5.4033
ENSG00000125514.9,LINC00029,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000125804.14,FAM182A,lncRNA,192,105,87,1.2536,0.3622,0.3842
ENSG00000125899.8,LINC02871,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000128254.16,C22orf24,lncRNA,33,38,33,0.3112,0.0899,0.0954
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,59,40,38,1.3672,0.3951,0.419
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,1,0,1,0.1227,0.0355,0.0376
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,3,1,2,0.0222,0.0064,0.0068
ENSG00000132832.10,AL139352.1,lncRNA,3,3,0,0.1422,0.0411,0.0436
ENSG00000136275.10,C7orf69,lncRNA,1,1,0,0.0831,0.024,0.0255
ENSG00000136315.4,AL355922.1,lncRNA,148,62,86,29.4829,8.5193,9.0355
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
