gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000082929.8,LINC01587,lncRNA,25,16,9,1.5721,0.5088,0.5421
ENSG00000083622.8,AC000061.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000093100.13,AC016026.1,lncRNA,3,2,1,0.0507,0.0164,0.0175
ENSG00000099869.8,IGF2-AS,lncRNA,2,8,6,0.051,0.0165,0.0176
ENSG00000103472.10,RRN3P2,lncRNA,1,0,1,0.0322,0.0104,0.0111
ENSG00000115934.11,AC087235.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000116652.6,DLEU2L,lncRNA,11,8,7,0.2265,0.0733,0.0781
ENSG00000117242.7,PINK1-AS,lncRNA,225,3662,3792,3.7068,1.1996,1.2782
ENSG00000120664.11,SPART-AS1,lncRNA,10,6,4,0.1456,0.0471,0.0502
ENSG00000122043.11,LINC00544,lncRNA,1,0,1,0.0369,0.012,0.0127
ENSG00000122548.5,KIAA0087,lncRNA,3,5,0,0.0513,0.0166,0.0177
ENSG00000124835.2,AC105760.1,lncRNA,1,0,1,0.0328,0.0106,0.0113
ENSG00000124915.10,MYRF-AS1,lncRNA,1,148,148,0.0253,0.0082,0.0087
ENSG00000125462.19,MIR9-1HG,lncRNA,31485,15486,16020,167.7061,54.2745,57.8305
ENSG00000125514.9,LINC00029,lncRNA,1,1,1,0.0409,0.0132,0.0141
ENSG00000125804.14,FAM182A,lncRNA,35,22,15,0.2492,0.0806,0.0859
ENSG00000125899.8,LINC02871,lncRNA,2,1,1,0.0803,0.026,0.0277
ENSG00000128254.16,C22orf24,lncRNA,25,22,24,0.257,0.0832,0.0886
ENSG00000129816.5,TTTY1B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000129845.5,TTTY1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000130600.19,H19,lncRNA,126,70,81,3.1836,1.0303,1.0978
ENSG00000131007.9,TTTY9B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131484.4,AC091132.1,lncRNA,0,0,1,0.0,0.0,0.0
ENSG00000131538.7,TTTY6,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000131548.7,TTTY6B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000132204.14,LINC00470,lncRNA,1,0,3,0.0081,0.0026,0.0028
ENSG00000132832.10,AL139352.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136275.10,C7orf69,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000136315.4,AL355922.1,lncRNA,12,5,7,2.6064,0.8435,0.8988
ENSG00000137808.12,AC027088.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000145063.15,AC062028.1,lncRNA,6,3,3,0.0967,0.0313,0.0334
ENSG00000145075.13,CCDC39,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000146521.10,LINC01558,lncRNA,9,9,11,0.237,0.0767,0.0817
ENSG00000146666.5,LINC00525,lncRNA,1,1,0,0.0616,0.0199,0.0212
ENSG00000147753.9,TTTY7,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000147761.8,TTTY7B,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149443.7,SCP2D1-AS1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000149656.8,LINC00266-1,lncRNA,1,2,0,0.0509,0.0165,0.0176
ENSG00000151303.11,AL136982.1,lncRNA,0,0,0,0.0,0.0,0.0
ENSG00000152931.9,PART1,lncRNA,37,19,19,0.2132,0.069,0.0735
